ID	Functional_category
YDR323C	PUNCTATE...
YDR324C	NUCLEOLUS
YDR325W	NUCLEUS
YDR326C	NUCLEUS
YDR328C	CYTOPLASM
YDR329C	PUNCTATE...
YDR330W	NUCLEUS
YDR331W	ER
YDR332W	MITOCHON...
YDR333C	CYTOPLASM
YDR334W	NUCLEUS
YDR335W	NUCLEUS
YDR337W	MITOCHON...
YDR338C	Not visu...
YDR343C	BUD TIP
YDR344C	PUNCTATE...
YDR345C	plasma m...
YDR346C	CYTOPLASM
YDR348C	BUD NECK
YDR349C	ER
YDR352W	VACUOLAR...
YDR353W	NUCLEUS
YDR354W	CYTOPLASM
YDR356W	SPINDLE ...
YDR357C	PUNCTATE...
YDR358W	CYTOPLASM
YDR361C	NUCLEUS
YDR362C	NUCLEUS
YDR363W	NUCLEUS
YDR363W_A	NUCLEUS
YDR364C	NUCLEUS
YDR365C	CYTOPLASM
YDR368W	NUCLEUS
YDR369C	CYTOPLASM
YDR370C	CYTOPLASM
YDR372C	CYTOPLASM
YDR375C	MITOCHON...
YDR376W	MITOCHON...
YDR377W	MITOCHON...
YDR379C_A	MITOCHON...
YDR379W	CYTOPLASM
YDR380W	CYTOPLASM
YDR381W	NUCLEUS
YDR382W	CYTOPLASM
YDR385W	CYTOPLASM
YDR388W	PUNCTATE...
YDR389W	CYTOPLASM
YDR390C	NUCLEUS
YDR392W	NUCLEUS
YDR394W	MITOCHON...
YDR395W	CYTOPLASM
YDR397C	NUCLEUS
YDR398W	NUCLEUS
YDR399W	CYTOPLASM
YDR400W	CYTOPLASM
YDR404C	NUCLEUS
YDR405W	MITOCHON...
YDR407C	PUNCTATE...
YDR408C	CYTOPLASM
YDR409W	NUCLEUS
YDR410C	ER
YDR416W	NUCLEUS
YDR419W	CYTOPLASM
YDR421W	CYTOPLASM
YDR422C	CYTOPLASM
YDR423C	CYTOPLASM
YDR424C	PUNCTATE...
YDR425W	CYTOPLASM
YDR427W	CYTOPLASM
YDR430C	MITOCHON...
YDR434W	ER
YDR436W	CYTOPLASM
YDR437W	ER
YDR440W	NUCLEUS
YDR441C	CYTOPLASM
YDR443C	Not Visu...
YDR444W	CYTOPLASM
YDR448W	NUCLEUS
YDR449C	NUCLEUS
YDR450W	CYTOPLASM
YDR451C	NUCLEUS
YDR452W	CYTOPLASM
YDR453C	CYTOPLASM
YDR454C	CYTOPLASM
YDR456W	PUNCTATE...
YDR457W	NUCLEUS
